Course,Credits,PassingGrades,Type,FromSemester,ToSemester
ARAB201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
BCOM300,0,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
BIOC201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
BIOL201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CIVL201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CIVL202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CMPS202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
COMM214,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
ENGL201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
ENGL202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
HUPS201,5,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
HUPS202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
HUPS203,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
IPEC200,1,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS200A,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS200B,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS202,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS203,5,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS204,5,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS205,5,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS206,5,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS208,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS209,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS210,4,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS211,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS212,5,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS213,5,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS214,5,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS215,1,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS290,0,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS291,0,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
NURS292,0,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PHRM201,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PSYC201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PSYC202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SOCL210,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
STAT204,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
INEG200,15,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
INEG300,12,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
ENGL101,6,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
CHEM101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
BIOL101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
PHYS101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
MATH101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
MATH102,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
